2021-11-25 10:22:29.162 [http-nio-9001-exec-5] WARN  org.springframework.web.servlet.PageNotFound - No mapping for POST /test
2021-11-25 11:07:46.442 [http-nio-9001-exec-9] WARN  org.springframework.web.servlet.PageNotFound - No mapping for POST /projectExcel/workdayByProject
2021-11-25 11:09:20.303 [http-nio-9001-exec-5] WARN  org.springframework.web.servlet.PageNotFound - No mapping for POST /projectExcel/workdayByProject
2021-11-25 11:09:50.617 [http-nio-9001-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping for POST /projectExcel/workdayByProject
2021-11-25 11:10:48.990 [restartedMain] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-25 11:10:58.341 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:11:01.532 [restartedMain] WARN  o.s.s.o.p.token.store.JwtAccessTokenConverter - Unable to create an RSA verifier from verifierKey (ignoreable if using MAC)
2021-11-25 11:11:03.097 [restartedMain] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:11:03.282 [restartedMain] WARN  o.s.s.o.p.token.store.JwtAccessTokenConverter - Unable to create an RSA verifier from verifierKey (ignoreable if using MAC)
2021-11-25 11:11:11.852 [restartedMain] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2021-11-25 11:11:11.962 [restartedMain] WARN  o.s.c.s.o.SpringCloudSecurityAutoConfiguration - All Spring Cloud Security modules and starters are deprecated. They will be moved to individual projects in the next major release.
2021-11-25 11:15:10.384 [http-nio-9001-exec-3] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required request part 'file' is not present]
2021-11-25 11:21:30.257 [http-nio-9001-exec-2] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required request part 'file' is not present]
2021-11-25 11:25:10.686 [http-nio-9001-exec-4] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required request part 'file' is not present]
2021-11-25 13:38:21.026 [http-nio-9001-exec-9] WARN  o.s.w.s.m.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.multipart.support.MissingServletRequestPartException: Required request part 'file' is not present]
